Puesto,Pintura,Artista,Corriente,PrecioOrginal,PrecioFinal,Puja,Ano
1,The Card Players,Paul Cézanne,Neoimpresionismo,259000000,273000000,14000000,2011
2,Le Rêve,Pablo Picasso,Surrealismo,155000000,157900000,2900000,2013
3,Three Studies of Lucian Freud,Francis Bacon,Pop Art,142400000,144500000,2100000,2013
4,"No. 5, 1948",Jackson Pollock,Expresionismo Abstracto,140000000,164700000,24700000,2006
5,Woman III,Willem de Kooning,Expresionismo Abstracto,137500000,161800000,24300000,2006
6,Portrait of Adele Bloch-Bauer I,Gustav Klimt,Cubismo,135000000,157700000,22700000,2006
7,The Scream,Edvard Munch,Neoimpresionismo,119900000,123700000,3800000,2012
8,Flag,Jasper Johns,Expresionismo Abstracto,110000000,119800000,9800000,2010
9,"Nude, Green Leaves and Bust",Pablo Picasso,Surrealismo,106500000,115700000,9200000,2010
10,Anna's Light,Barnett Newman,Pop Art,105700000,107300000,1600000,2013
11,Silver Car Crash,Andy Warhol,Pop Art,105400000,107200000,1800000,2013
12,Garçon à la pipe,Pablo Picasso,Cubismo,104200000,130600000,26400000,2004
13,Eight Elvises,Andy Warhol,Pop Art,100000000,109500000,9500000,2008
14,Dora Maar au Chat,Pablo Picasso,Surrealismo,95200000,111500000,16300000,2006
15,Adele Bloch-Bauer II,Gustav Klimt,Cubismo,87900000,103500000,15600000,2006
16,"Orange, Red, Yellow",Mark Rothko,Expresionismo Abstracto,86900000,89600000,2700000,2012
17,"Triptych, 1976",Francis Bacon,Pop Art,86300000,94400000,8100000,2008
18,Black Fire I,Barnett Newman,Expresionismo Abstracto,84200000,84200000,0,2014
19,Portrait of Dr. Gachet,Vincent van Gogh,Neoimpresionismo,82500000,151400000,68900000,1990
20,Three Studies for a Portrait of John Edwards,Francis Bacon,Pop Art,80800000,80800000,0,2014
21,Le Bassin aux Nymphéas,Claude Monet,Expresionismo,80500000,87300000,6800000,2008
22,False Start,Jasper Johns,Expresionismo Abstracto,80000000,94000000,14000000,2006
23,Turquoise Marilyn,Andy Warhol,Pop Art,80000000,91200000,11200000,2007
24,Bal du moulin de la Galette,Pierre-Auguste Renoir,Impresionismo,78100000,143300000,65200000,1990
25,Salvator Mundi,Leonardo Da Vinci,Renacimiento,77500000,78900000,1400000,2013
26,Massacre of the Innocents,Peter Paul Rubens,Barroco,76700000,101000000,24300000,2002
27,No 1 (Royal Red and Blue),Mark Rothko,Expresionismo Abstracto,75100000,77000000,1900000,2012
28,Darmstadt Madonna,Hans Holbein,Renacimiento,75000000,78700000,3700000,2011
29,White Center ,Mark Rothko,Expresionismo Abstracto,72800000,83000000,10200000,2007
30,Diana and Callisto,Titian,Renacimiento,71700000,74100000,2400000,2012
31,Green Car Crash ,Andy Warhol,Pop Art,71700000,81800000,10100000,2007
32,Portrait de l'artiste sans barbe,Vincent van Gogh,Neoimpresionismo,71500000,103400000,31900000,1998
33,Diana and Actaeon,Titian,Renacimiento,70600000,78900000,8300000,2009
34,Portrait of Alfonso d'Avalos,Titian,Renacimiento,70000000,90000000,20000000,2003
35,Nude Sitting on a Divan,Amedeo Modigliani,Dadaísmo,69000000,74700000,5700000,2010
36,The Gross Clinic,Thomas Eakins,Impresionismo,68000000,78000000,10000000,2007
37,Untitled,Mark Rothko,Expresionismo Abstracto,66200000,66200000,0,2014
38,Eagle Standing on Pine Tree,Qi Baishi,Pintura Contemporánea China,65500000,68700000,3200000,2011
39,Police Gazette,Willem de Kooning,Expresionismo Abstracto,63500000,74600000,11100000,2006
40,Men in Her Life,Andy Warhol,Pop Art,63400000,68700000,5300000,2010
41,Zhichuan Resettlemen,Wang Meng,Pintura de Paisaje China,62100000,65300000,3200000,2011
42,"Rideau, Cruchon et Compotier",Paul Cézanne,Neoimpresionismo,60500000,86300000,25800000,1999
43,Suprematist Composition,Kazimir Malevich,Dadaísmo,60000000,67000000,7000000,2008
44,Portrait of Joseph Roulin,Vincent van Gogh,Neoimpresionismo,58000000,112000000,54000000,1989
45,A Wheatfield with Cypresses,Vincent van Gogh,Neoimpresionismo,57000000,93700000,36700000,1993
46,Femme aux Bras Croisés,Pablo Picasso,Cubismo,55000000,74900000,19900000,2000
47,Irises,Vincent van Gogh,Neoimpresionismo,53900000,110700000,56800000,1987
48,Femme assise dans un jardin,Pablo Picasso,Surrealismo,49500000,69700000,20200000,1999
49,Les Noces de Pierrette,Pablo Picasso,Cubismo,49300000,92900000,43600000,1989
50,"Yo, Picasso",Pablo Picasso,Cubismo,47800000,91600000,43800000,1989
51,Peasant Woman Against a Background of Wheat,Vincent van Gogh,Neoimpresionismo,47500000,70200000,22700000,1905
52,Au Lapin Agile,Pablo Picasso,Cubismo,40700000,76600000,35900000,1989
53,Vase with Fifteen Sunflowers,Vincent van Gogh,Neoimpresionismo,39700000,83900000,44200000,1987
54,Acrobate et jeune arlequin,Pablo Picasso,Cubismo,38500000,75900000,37400000,1988
55,Portrait of a Halberdier,Pontormo,Renacimiento,35200000,67400000,32200000,1989